County,Year,Population
Kings,2020,"2,722,259"
Kings,2021,"2,634,576"
Kings,2022,"2,600,751"
Kings,2023,"2,611,893"
Kings,2024,"2,658,657"
Lewis,1990,"26,872"
Lewis,1991,"27,043"
Lewis,1992,"27,165"
Lewis,1993,"27,158"
Lewis,1994,"27,319"
Lewis,1995,"27,364"
Lewis,1996,"27,357"
Lewis,1997,"27,251"
Lewis,1998,"27,072"
Lewis,1999,"26,914"
Lewis,2000,"26,989"
Lewis,2001,"26,951"
Lewis,2002,"26,618"
Lewis,2003,"26,692"
Lewis,2004,"26,661"
Lewis,2005,"26,773"
Lewis,2006,"27,001"
Lewis,2007,"27,086"
Lewis,2008,"26,878"
Lewis,2009,"27,047"
Lewis,2010,"27,081"
Lewis,2011,"27,065"
Lewis,2012,"27,268"
Lewis,2013,"27,205"
Lewis,2014,"27,233"
Lewis,2015,"27,006"
Lewis,2016,"26,874"
Lewis,2017,"26,858"
Lewis,2018,"26,790"
Lewis,2019,"26,651"
Lewis,2020,"26,571"
Lewis,2021,"26,739"
Lewis,2022,"26,616"
Lewis,2023,"26,568"
Lewis,2024,"26,512"
Livingston,1990,"62,477"
Livingston,1991,"62,631"
Livingston,1992,"63,512"
Livingston,1993,"63,773"
Livingston,1994,"64,015"
Livingston,1995,"64,146"
Livingston,1996,"64,146"
Livingston,1997,"64,217"
Livingston,1998,"63,948"
Livingston,1999,"64,243"
Livingston,2000,"64,705"
Livingston,2001,"65,088"
Livingston,2002,"65,118"
Livingston,2003,"65,130"
Livingston,2004,"65,484"
Livingston,2005,"65,322"
Livingston,2006,"65,357"
Livingston,2007,"65,460"
Livingston,2008,"65,637"
Livingston,2009,"65,420"
Livingston,2010,"65,208"
Livingston,2011,"64,743"
Livingston,2012,"64,617"
Livingston,2013,"64,375"
Livingston,2014,"64,264"
Livingston,2015,"63,954"
Livingston,2016,"63,558"
Livingston,2017,"62,976"
Livingston,2018,"62,681"
Livingston,2019,"62,219"
Livingston,2020,"61,577"
Livingston,2021,"61,662"
Livingston,2022,"61,356"
Livingston,2023,"61,184"
Livingston,2024,"61,364"
Madison,1990,"69,300"
Madison,1991,"70,021"
Madison,1992,"70,660"
Madison,1993,"70,585"
Madison,1994,"70,488"
Madison,1995,"70,182"
Madison,1996,"70,151"
Madison,1997,"69,554"
Madison,1998,"69,464"
Madison,1999,"69,523"
Madison,2000,"69,450"
Madison,2001,"69,852"
Madison,2002,"70,261"
Madison,2003,"71,010"
Madison,2004,"71,397"
Madison,2005,"71,471"
Madison,2006,"72,042"
Madison,2007,"72,709"
Madison,2008,"73,075"
Madison,2009,"73,169"
Madison,2010,"73,378"
Madison,2011,"72,577"
Madison,2012,"71,859"
Madison,2013,"71,655"
Madison,2014,"71,160"
Madison,2015,"70,430"
Madison,2016,"69,820"
Madison,2017,"69,130"
Madison,2018,"69,060"
Madison,2019,"68,498"
Madison,2020,"67,942"
Madison,2021,"67,405"
Madison,2022,"67,059"
Madison,2023,"67,242"
Madison,2024,"67,193"
Monroe,1990,"715,825"
Monroe,1991,"721,362"
Monroe,1992,"729,060"
Monroe,1993,"733,968"
Monroe,1994,"734,382"
Monroe,1995,"733,643"
Monroe,1996,"734,257"
Monroe,1997,"734,394"
Monroe,1998,"734,076"
Monroe,1999,"733,679"
Monroe,2000,"738,979"
Monroe,2001,"739,891"
Monroe,2002,"741,391"
Monroe,2003,"741,671"
Monroe,2004,"741,075"
Monroe,2005,"738,506"
Monroe,2006,"738,329"
Monroe,2007,"739,249"
Monroe,2008,"741,018"
Monroe,2009,"743,386"
Monroe,2010,"745,029"
Monroe,2011,"749,027"
Monroe,2012,"751,444"
Monroe,2013,"754,196"
Monroe,2014,"755,089"
Monroe,2015,"755,118"
Monroe,2016,"755,191"
Monroe,2017,"756,333"
Monroe,2018,"758,810"
Monroe,2019,"758,941"
Monroe,2020,"758,384"
Monroe,2021,"754,572"
